,0
0,1051.1354
1,1041.4727
2,1025.5927
3,1012.44476
4,1011.0742
5,1003.2905
6,989.9216
7,984.98926
8,986.3827
9,981.9168
10,972.5321
11,972.32825
12,973.5273
13,969.5757
14,954.7323
15,943.22626
16,946.2527
17,939.3768
18,922.99554
19,915.17145
20,916.6162
21,909.9749
22,895.2536
23,885.8668
24,891.98785
25,893.8402
26,881.30804
27,882.3525
28,893.6503
29,903.3987
30,906.3327
31,910.9929
32,930.08203
33,945.4474
34,948.99176
35,968.0343
36,988.5529
37,1000.8541
38,1000.7481
39,1013.14056
40,1028.9613
41,1038.6957
42,1032.5454
43,1043.9536
44,1054.2709
45,1055.0088
46,1047.4398
47,1049.5632
48,1054.8707
